naziv,grad,godina_osnutka,stadion_naziv,stadion_kapacitet,stadion_godina_osnutka,trener_ime,trener_prezime,broj_trofeja_ligi,broj_igraca,prosjek_godina,broj_bodova_prosle_godine,broj_ligi_prvaka,broj_kupova,tm_vrijednost,igrac_ime,igrac_prezime,pozicija
Bayern Munich,Munich,1900,Allianz Arena,75024,2005,Vincent,Kompany,33,28,26.5,72,6,20,939.70,Alphonso,Davies,Obrana
Bayern Munich,Munich,1900,Allianz Arena,75024,2005,Vincent,Kompany,33,28,26.5,72,6,20,939.70,Harry,Kane,Napadač
Bayern Munich,Munich,1900,Allianz Arena,75024,2005,Vincent,Kompany,33,28,26.5,72,6,20,939.70,Manuel,Neuer,Golman
Bayern Munich,Munich,1900,Allianz Arena,75024,2005,Vincent,Kompany,33,28,26.5,72,6,20,939.70,Thomas,Müller,Napadač
Borussia Dortmund,Dortmund,1909,Signal Iduna Park,81365,1974,Nuri,Sahin,8,25,25.1,65,1,5,475.30,Emre,Can,Vezni
Borussia Dortmund,Dortmund,1909,Signal Iduna Park,81365,1974,Nuri,Sahin,8,25,25.1,65,1,5,475.30,Gregor,Kobel,Golman
Borussia Dortmund,Dortmund,1909,Signal Iduna Park,81365,1974,Nuri,Sahin,8,25,25.1,65,1,5,475.30,Yan,Couto,Obrana
Borussia Dortmund,Dortmund,1909,Signal Iduna Park,81365,1974,Nuri,Sahin,8,25,25.1,65,1,5,475.30,Niklas,Sule,Obrana
RB Leipzig,Leipzig,2009,Red Bull Arena,47800,2010,Marco,Rose,0,24,25.6,63,0,2,517.90,Yussuf,Poulsen,Napadač
RB Leipzig,Leipzig,2009,Red Bull Arena,47800,2010,Marco,Rose,0,24,25.6,63,0,2,517.90,Lukas,Klostermann,Obrana
RB Leipzig,Leipzig,2009,Red Bull Arena,47800,2010,Marco,Rose,0,24,25.6,63,0,2,517.90,David,Raum,Obrana
RB Leipzig,Leipzig,2009,Red Bull Arena,47800,2010,Marco,Rose,0,24,25.6,63,0,2,517.90,Xavi,Simons,Vezni
Stuttgart,Stuttgart,1893,Mercedes-Benz Arena,60441,1933,Sebastian,Hoeneß,5,31,24.2,73,0,3,313.73,Alexander,Nübel,Golman
Stuttgart,Stuttgart,1893,Mercedes-Benz Arena,60441,1933,Sebastian,Hoeneß,5,31,24.2,73,0,3,313.73,Jeff,Chabot,Obrana
Stuttgart,Stuttgart,1893,Mercedes-Benz Arena,60441,1933,Sebastian,Hoeneß,5,31,24.2,73,0,3,313.73,Enzo,Millot,Vezni
Stuttgart,Stuttgart,1893,Mercedes-Benz Arena,60441,1933,Sebastian,Hoeneß,5,31,24.2,73,0,3,313.73,Deniz,Undav,Napadač
Wolfsburg,Wolfsburg,1945,Volkswagen Arena,30000,2002,Ralph,Hasenhüttl,1,31,25.4,37,0,1,215.00,Kamil,Grabara,Golman
Wolfsburg,Wolfsburg,1945,Volkswagen Arena,30000,2002,Ralph,Hasenhüttl,1,31,25.4,37,0,1,215.00,Sebastiaan,Bornauw,Obrana
Wolfsburg,Wolfsburg,1945,Volkswagen Arena,30000,2002,Ralph,Hasenhüttl,1,31,25.4,37,0,1,215.00,Maximilian,Arnold,Vezni
Wolfsburg,Wolfsburg,1945,Volkswagen Arena,30000,2002,Ralph,Hasenhüttl,1,31,25.4,37,0,1,215.00,Jonas,Wind,Napadač
Bayer Leverkusen,Leverkusen,1904,BayArena,30210,1958,Xabi,Alonso,1,25,26.0,90,0,2,634.25,Jonathan,Tah,Obrana
Bayer Leverkusen,Leverkusen,1904,BayArena,30210,1958,Xabi,Alonso,1,25,26.0,90,0,2,634.25,Jeremie,Frimpong,Obrana
Bayer Leverkusen,Leverkusen,1904,BayArena,30210,1958,Xabi,Alonso,1,25,26.0,90,0,2,634.25,Victor,Boniface,Napadač
Bayer Leverkusen,Leverkusen,1904,BayArena,30210,1958,Xabi,Alonso,1,25,26.0,90,0,2,634.25,Florian,Wirtz,Vezni
Eintracht Frankfurt,Frankfurt,1899,Deutsche Bank Park,51500,1925,Dino,Toppmöller,1,27,25.0,47,0,5,280.10,Robin,Koch,Obrana
Eintracht Frankfurt,Frankfurt,1899,Deutsche Bank Park,51500,1925,Dino,Toppmöller,1,27,25.0,47,0,5,280.10,Ansgar,Knauff,Obrana
Eintracht Frankfurt,Frankfurt,1899,Deutsche Bank Park,51500,1925,Dino,Toppmöller,1,27,25.0,47,0,5,280.10,Mario,Götze,Vezni
Eintracht Frankfurt,Frankfurt,1899,Deutsche Bank Park,51500,1925,Dino,Toppmöller,1,27,25.0,47,0,5,280.10,Omar,Marmoush,Napadač
Borussia Mönchengladbach,Mönchengladbach,1900,Borussia-Park,54057,2004,Gerardo,Seoane,5,26,26.2,34,0,3,139.70,Ko,Itakura,Obrana
Borussia Mönchengladbach,Mönchengladbach,1900,Borussia-Park,54057,2004,Gerardo,Seoane,5,26,26.2,34,0,3,139.70,Luca,Netz,Obrana
Borussia Mönchengladbach,Mönchengladbach,1900,Borussia-Park,54057,2004,Gerardo,Seoane,5,26,26.2,34,0,3,139.70,Joe,Scally,Obrana
Borussia Mönchengladbach,Mönchengladbach,1900,Borussia-Park,54057,2004,Gerardo,Seoane,5,26,26.2,34,0,3,139.70,Julian,Weigl,Vezni
TSG Hoffenheim,Sinsheim,1899,PreZero Arena,30150,2009,Pellegrino,Matarazzo,0,33,25.9,46,0,0,166.15,Dennis,Geiger,Vezni
TSG Hoffenheim,Sinsheim,1899,PreZero Arena,30150,2009,Pellegrino,Matarazzo,0,33,25.9,46,0,0,166.15,Ozan,Kabak,Obrana
TSG Hoffenheim,Sinsheim,1899,PreZero Arena,30150,2009,Pellegrino,Matarazzo,0,33,25.9,46,0,0,166.15,Oliver,Baumann,Golman
TSG Hoffenheim,Sinsheim,1899,PreZero Arena,30150,2009,Pellegrino,Matarazzo,0,33,25.9,46,0,0,166.15,Andrej,Kramarić,Napadač
FC Augsburg,Augsburg,1907,WWK Arena,30660,2009,Jess,Thorup,0,29,25.8,39,0,0,99.33,Jeffrey,Gouweleeuw,Obrana
FC Augsburg,Augsburg,1907,WWK Arena,30660,2009,Jess,Thorup,0,29,25.8,39,0,0,99.33,Robert,Gumny,Obrana
FC Augsburg,Augsburg,1907,WWK Arena,30660,2009,Jess,Thorup,0,29,25.8,39,0,0,99.33,Maximilian,Bauer,Obrana
FC Augsburg,Augsburg,1907,WWK Arena,30660,2009,Jess,Thorup,0,29,25.8,39,0,0,99.33,Finn,Dahmen,Golman
Union Berlin,Berlin,1966,Stadion An der Alten Försterei,22012,1920,Bo,Svensson,0,29,27.0,33,0,0,122.18,Janik,Haberer,Vezni
Union Berlin,Berlin,1966,Stadion An der Alten Försterei,22012,1920,Bo,Svensson,0,29,27.0,33,0,0,122.18,Frederik,Rønnow,Golman
Union Berlin,Berlin,1966,Stadion An der Alten Försterei,22012,1920,Bo,Svensson,0,29,27.0,33,0,0,122.18,Lucas,Tousart,Vezni
Union Berlin,Berlin,1966,Stadion An der Alten Försterei,22012,1920,Bo,Svensson,0,29,27.0,33,0,0,122.18,Diogo,Leite,Obrana
SC Freiburg,Freiburg,1904,Europa-Park Stadion,34700,2021,Julian,Schuster,0,28,26.7,42,0,0,165.05,Vincenzo,Grifo,Napadač
SC Freiburg,Freiburg,1904,Europa-Park Stadion,34700,2021,Julian,Schuster,0,28,26.7,42,0,0,165.05,Ritsu,Doan,Napadač
SC Freiburg,Freiburg,1904,Europa-Park Stadion,34700,2021,Julian,Schuster,0,28,26.7,42,0,0,165.05,Maximilian,Eggestein,Vezni
SC Freiburg,Freiburg,1904,Europa-Park Stadion,34700,2021,Julian,Schuster,0,28,26.7,42,0,0,165.05,Matthias,Ginter,Obrana
1. FSV Mainz 05,Mainz,1905,Mewa Arena,34000,2011,Bo,Henriksen,0,25,26.8,35,0,0,93.45,Dominik,Kohr,Vezni
1. FSV Mainz 05,Mainz,1905,Mewa Arena,34000,2011,Bo,Henriksen,0,25,26.8,35,0,0,93.45,Jonathan,Burkardt,Napadač
1. FSV Mainz 05,Mainz,1905,Mewa Arena,34000,2011,Bo,Henriksen,0,25,26.8,35,0,0,93.45,Jae-Sung,Lee,Vezni
1. FSV Mainz 05,Mainz,1905,Mewa Arena,34000,2011,Bo,Henriksen,0,25,26.8,35,0,0,93.45,Robin,Zentner,Golman
SV Werder Bremen,Bremen,1899,Wohninvest Weserstadion,42100,1909,Ole,Werner,4,27,26.3,42,0,6,119.35,Romano,Schmid,Vezni
SV Werder Bremen,Bremen,1899,Wohninvest Weserstadion,42100,1909,Ole,Werner,4,27,26.3,42,0,6,119.35,Leonardo,Bittencourt,Vezni
SV Werder Bremen,Bremen,1899,Wohninvest Weserstadion,42100,1909,Ole,Werner,4,27,26.3,42,0,6,119.35,Miloš,Veljković,Obrana
SV Werder Bremen,Bremen,1899,Wohninvest Weserstadion,42100,1909,Ole,Werner,4,27,26.3,42,0,6,119.35,Michael,Zetterer,Golman
